,creationDate,avgLow,avgHigh,medianLow,medianHigh,countLow,countHigh,averageFactor,medianFactor
12,2021/39,1560566.652173913,2538910.263157895,1040454,2393473,23,19,1.6269156204389743,2.3004121277826797
28,2021/23,1876630.0,4053044.153846154,1272109,2934785,17,26,2.159746009520339,2.3070232189222777
50,2021/1,1784228.5,1392643.25,780045,1878517,8,4,0.7805296518915599,2.408216192655552
176,2018/10,22096540.90769231,38073200.0,15400994,38073200,65,1,1.7230389208451107,2.472126149779683
99,2020/2,6775736.0,7922762.181818182,1778682,4418365,18,11,1.1692843673097921,2.484066853996386
45,2021/6,3177922.782608696,3398931.290322581,874939,2202010,23,31,1.06954495839967,2.5167583111508347
44,2021/7,3286581.379310345,2912128.6875,597994,1584718,29,16,0.886066204181769,2.650056689532002
155,2018/43,27437715.75862069,38299766.75,14501334,39574918,58,4,1.395880294370589,2.729053616722434
113,2019/40,13404636.233333332,4873608.1875,2015502,5518609,30,16,0.36357631066338003,2.738081629291363
88,2020/13,3301590.2,6981400.76,1372973,3805503,30,25,2.1145570277013785,2.7717245714227445
18,2021/33,1885612.1764705882,1404268.3125,345796,961087,17,16,0.7447280676392598,2.779346782496038
166,2018/27,13358035.57142857,8139678.0,2912206,8139678,14,1,0.6093469325242638,2.7950213686806498
157,2018/38,38526640.3382353,47061680.6,16349358,45884677,68,5,1.2215360640542074,2.806512463669827
151,2018/49,12986065.24,22215645.333333332,8277830,24365802,25,3,1.7107295337547013,2.943501134959283
20,2021/31,1453234.2068965517,2693900.0476190476,753290,2257495,29,21,1.8537273860157715,2.9968471637749072
13,2021/38,865776.8,2047789.0666666667,352268,1076139,15,15,2.3652621168257992,3.054887188163557
141,2019/12,11146174.6875,11192559.0,3536681,11192559,16,1,1.0041614557281269,3.1647069667860914
14,2021/37,1861766.8,3676360.6428571427,879624,2860806,15,28,1.974662263209948,3.252305530544869
131,2019/22,15980803.785714285,21569108.0,4406238,15198327,28,5,1.3496885569223536,3.4492750958981335
128,2019/25,5424903.023809524,7858899.0,2542861,8909063,42,4,1.44867087310277,3.5035587867366718
52,2020/49,6539579.857142857,13885515.5,3713018,13105196,7,16,2.1233039129927502,3.529526654597419
84,2020/17,8893890.483870968,12689001.782608695,2944733,10795992,31,23,1.4267099202109745,3.6662040327595067
161,2018/34,16551362.953488372,18880653.333333332,6051582,23428820,43,3,1.1407310314196233,3.871519876951184
59,2020/42,8730519.2,13965583.0,6817720,26517933,5,4,1.5996280037961548,3.889560292883838
74,2020/27,4792481.230769231,8860881.333333334,1970502,7808402,13,9,1.8489131008888882,3.9626460668398207
145,2019/6,14789177.1,26032153.785714287,6559176,29801412,20,14,1.7602165157461187,4.543468874748902
